cellphone_id,brand,model,internal memory,RAM,performance,main camera,selfie camera,battery size,screen size,weight,price,release date
0,Apple,iPhone SE (2022),128,4,7.23,12,7,2018,4.7,144,429,18/03/2022
1,Apple,iPhone 13 Mini,128,4,7.72,12,12,2438,5.4,141,699,24/09/2021
2,Apple,iPhone 13,128,4,7.75,12,12,3240,6.1,174,699,24/09/2021
3,Apple,iPhone 13 Pro,256,6,7.94,12,12,3065,6.1,204,999,24/09/2021
4,Apple,iPhone 13 Pro Max,256,6,8.01,12,12,4352,6.7,240,1199,24/09/2021
5,Apple,iPhone XR,64,3,4.22,12,7,2942,6.1,194,236,26/10/2018
6,Asus,Zenfone 8,128,8,6.76,64,12,4000,5.9,169,599,12/05/2021
7,Samsung,Galaxy A13,32,3,1.36,50,8,5000,6.6,196,154,23/03/2022
8,Samsung,Galaxy A32,64,4,2.2,48,13,5000,6.5,205,199,22/01/2021
9,Samsung,Galaxy A53,128,6,3.79,64,32,5000,6.5,189,312,24/03/2022
10,Samsung,Galaxy S22,128,8,8.81,50,10,3700,6.1,167,528,25/02/2022
11,Samsung,Galaxy S22 Plus,128,8,7.22,50,10,4500,6.6,195,899,25/02/2022
12,Samsung,Galaxy S22 Ultra,128,8,9.68,108,40,5000,6.8,228,840,25/02/2022
13,Samsung,Galaxy Z Flip 3,128,8,5.96,12,10,3300,6.7,183,899,11/08/2021
14,Samsung,Galaxy Z Fold 3,256,12,6.35,12,4,4400,7.6,271,1799,11/08/2021
15,Google,Pixel 6,128,8,6.76,50,8,4614,6.4,207,499,28/10/2021
16,Google,Pixel 6a,128,6,6.88,12,8,4410,6.1,178,449,21/07/2021
17,Google,Pixel 6 Pro,128,12,7.19,50,11,5003,6.7,210,699,28/10/2021
18,OnePlus,Nord N20,128,6,3.8,64,16,4500,6.4,173,299,28/04/2022
19,OnePlus,Nord N20,128,8,6.04,50,32,4500,6.4,190,379,21/05/2022
20,OnePlus,10 Pro,128,8,8.86,48,32,5000,6.7,201,780,11/01/2022
21,OnePlus,10T,128,8,11,50,16,4800,6.7,204,649,06/08/2022
22,Oppo,Find X5 Pro,256,12,10.12,50,32,5000,6.7,218,987,14/03/2022
23,Vivo,X80 Pro,256,8,9.81,50,32,4700,6.7,215,872,29/04/2022
24,Xiaomi,Redmi Note 11,128,4,2.44,50,13,5000,6.4,179,174,09/02/2022
25,Xiaomi,11T Pro,256,8,7.59,108,16,5000,6.6,204,435,05/10/2021
26,Xiaomi,12 Pro,128,8,9.85,50,32,4600,6.7,204,618,31/12/2021
27,Xiaomi,Poco F4,128,8,6.98,64,20,4500,6.6,195,428,27/07/2022
28,Sony,Xperia Pro,512,12,6.82,12,8,4000,6.5,225,1998,27/01/2021
29,Motorola,Moto G Stylus (2022),128,6,2.3,50,16,5000,6.8,215,500,27/04/2022
30,Motorola,Moto G Play (2021),32,3,1.42,13,5,5000,6.5,204,159,14/01/2021
31,Motorola,Moto G Pure,32,3,1.02,13,5,4000,6.5,188,129,14/10/2021
32,Motorola,Moto G Power (2022),64,4,1.35,50,8,5000,6.5,203,189,22/02/2022
